3.16	渠道码自定义配置，图片社区和报名活动增加渠道码，review问题修改
8.6 	生产问题修复（扭蛋机奖项分析不显示）,生产发红包超过微信1800/min限制（任务补偿,流量消锋）。
8.7 	接收人群包实现

8.17 	对接kakfa实现人群包接收开发
8,18 	联调kafka人群包
8.19 	对接ccrm人群包和自动化营销测试案例评审，cmimp的uat环境发布
8.20 	修改分享次数bug，对外接口增加活动状态bug,定时清理过期人群包和密令包。

8.24  	请假
8.25 	请假
8.26 	cmimp回调收尾，熟悉悦然大屏（项目拉取，编译），转正ppt，丸美接口
8.27 	cmimp180发版
8.28 	整理cmshop482需求

8.31  	cmshop接口定义rap，4.8.2需求澄清
9.1 	482需求开发
9.2 	482需求开发
9.3 	转正答辩，482联调
9.4 	转正资料，套购需求评审

9.7 	483套购设计文档
9.8 	定义rap前端接口，接口评审
9.9 	483需求开发,套购上下架
9.10 	483需求开发，mp套购查询
9.11 	483开发，分享开发

9.14 	483代码合并，准备联调  ，修复价格不一致bug
9.15 	联调前端和ccs ， 价格bug回滚
9.16 	483缓存和分享细节整改
9.17 	483支撑测试，bug修复
9.18 	继续支持sit测试，修复bug

9.21 	483 大屏bug修复(dubbo传treeSet坑),cmimp生产问题定位  ,
9.22 	483reveivw
9.23 	开店bug修复,套购数量展示修改
9.24  	问题收尾，优惠券更改
9.25 	请假

9.27 	请假
9.28 	c2m了解，优惠券重新优化(增加优惠券可用门店接口)，ccs对接退货
9.29 	c2m了解，483版本上线sql，优惠券新接口联调
9.30	试验hystrix

10.9 	483版本上线准备，熔断demo整理
10.10 	483上线

10.12 	484废弃代码回退，484bug整理
10.13 	483sp1016代码review，及修改，生产环境bug修复（套购场景列表，可替换商品）
10.14 	484bug修复
10.15 	484bug修复
10.16 	483sp1016上线

10.19 	上线问题复盘（优惠券）
10.20   货架顺序bug修改方案重新审查
10.21 	货架bug修改
10.22 	佣金bug整理
10.23 	返佣类型bug修改
10.24  	返佣类型bug修改，提测

10.26   家用角色佣金为0bug整理
10.27 	佣金为0bug修改
10.28 	佣金bug验证，套购排序及指定场景修改
10.29 	移动管家端角色家用佣金bug
10.30 	iot发票功能开发
10.31	iot发票功能开发

11.2 	发票联调，推广助手优化，套购缓存优化
11.3 	请假
11.4 	发票联调，全屋购需求评审
11.5 	发票联调
11.6 	套购中商品排序bug，发票提测
11.7 	推广助手优化方案测试

11.9 	推广助手,geo分区优化方案测试
11.10 	发票bug定位
11.11 	发票bug修改,484代码review，c2m选配管理平台流程会议
11.12	发票bug修改
11.13	发票bug修改
11.14 	家用竖屏接口开发

11.16 	家用竖屏接口联调，全屋购方案对接
11.17 	/myCardV2 优惠券性能优化
11.18 	/myCardV2 优惠券性能优化，测试及问题排除
11.19   优惠券压测方案评审，梳理，历程，未来方向
11.20 	优惠券压测数据整理，优化方案评审
11.21 	全屋购接口及设计文档

11.23 	全屋购接口及设计文档，重新整理。电商仓发票问题排查
11.24 	全屋购设计评审
11.25 	全屋购开发套购列表
11.26 	全屋购开发方案保存
11.27 	全屋购开发方案分享

11.30 	全屋购开发
12.1 	环境切换，异步缓存开发，发票问题排查（kafka堆积？）
12.2 	环境切换，联调全屋购，开店数据优化
12.3	全屋购联调
12.4    请假
12.5    开店数据重写

12.7	套购替换小类商品优化
12.8	测试用例评审，分页，加竖屏背景图，套购列表缓存
12.9 	联调全屋购
12.10 	全屋购方案保存分享调试
12.11 	全屋购联调
12.12  	全屋购联调

12.14 	全屋购环境重新对接
12.15 	全屋购数据拉通，review
12.16  	全屋购细节问题改动,redis切换,review问题修改，
排查价格未维护的问题（ccs切换db，db没维护价格，但是缓存还在，家用的商品不适用于iot门店）
12.17 	全屋购sit测试完成，uat业务验证，环境切换
12.18 	全屋购发版，优惠券领取状态问题整理

12.21	websocket了解
12.22	websocket了解
12.23 	搜索联动需求评审
12.24 	ws技术文档
12.25 	ws技术评审,优惠券bug排查（分布式锁，造成数据重复统计，领取重复）

12.28 	搜索联动详设20%，优惠券bug(group_concat长度)，iot发票bug
12.29 	搜索联动详设（取一次干掉），引入限流
12.30 	搜索联动评审
12.31 	yapi迁移

2021

1.4	493版本开发开始
1.5	yapi导入完成，搜索联动开发
1.6 限流开发
1.7 大屏限流接入
1.8 熔断开发

1.11 前端埋点增加参数，压测准备
1.12 商品视频，套购排查，iot发票问题，yapi导入
1.13 商品视频修改，测试用例评审
1.14 483优惠券及广告需求评审,套购可配置替换商品评审，用户云年会
1.15 请假

1.18 大屏广告配置轮播时间
1.19 二级货架需求后端详细设计，优惠券环境问题，套购问题
1.20 全屋购替换商品需求评审，优惠券bug，套购bug，大屏广告bug
1.21 二级货架详设评审
1.22 二级货架详设评审(总部上架，非总部上架，可用门店es),492版本上线判断，492版本上线

1.25 套购替换商品需求评审，互动营销需求分析
1.26 邀请注册接口整理
1.27 邀请注册接口提供
1.28 邀请注册接口评审，对接。美的到家493上线盘点，上线发版
1.29 美云年会
1.30 接口详情补充

2.1 悦然493详设补充，页面初始化接口开发
2.2 页面初始化接口开发，红包流程评审
2.3 离职交接
